Comment,Designator,Footprint,LCSC,Quantity
.037,R28,R_2512_6332Metric,C19633813,1
.05,R31,STA_CSSH2728_STP,C346497,1
.47uF,C26,C_0805_2012Metric,C1728,1
0,R72,R_0603_1608Metric,C15402,1
0.1,R14,R_2512_6332Metric,C4033889,1
0.1,R58,R_1206_3216Metric,C5123673,1
0.1,R2,R_2512_6332Metric,C877956,1
1.8uH,L2,L_Taiyo-Yuden_NR-40xx,C7497081,1
100,"R22,R23,R24,R25,R26,R27",R_1206_3216Metric,C17901,6
100,"R37,R39,R41",R_0402_1005Metric,C319948,3
100k,"R16,R4",R_1206_3216Metric,C3960492,2
100nF,"C60,C61",C_0603_1608Metric,C1590,2
100nF,"C17,C20,C21,C22,C23,C28,C29,C30,C32,C8",C_0402_1005Metric,C85960,10
10K,"R29,R33,R69,R75",R_0603_1608Metric,C2075660,4
10K,R15,R_1210_3225Metric,C309586,1
10k,"R7,R8",R_1210_3225Metric,C309586,2
10nF,"C2,C4",C_0805_2012Metric,C1710,2
10uF,"C13,C5,C7",C_1210_3225Metric,C77102,3
11.5K,R30,R_1206_3216Metric,C104613,1
15V,D10,D_SOD-123,C2105,1
16.5k,R20,R_1210_3225Metric,C230048,1
165k,R18,R_1206_3216Metric,C364199,1
18.2k,R1,R_0603_1608Metric,C2933164,1
1M,"R34,R59,R6",R_2512_6332Metric,C55485,3
1N4730APF-M (3V9),D3,D_DO-41_SOD81_P12.70mm_Horizontal,C7497908,1
1k,R50,R_0603_1608Metric,C14676,1
1nF,C43,C_0805_2012Metric,C46553,1
1uF,"C12,C19,C27,C3,C31,C56,C57,C58,C59",C_0805_2012Metric,C1848,9
1uH,L5,L_Taiyo-Yuden_NR-40xx,C167801,1
2.4K,R71,R_0603_1608Metric,C22940,1
215K,R19,R_1206_3216Metric,C204751,1
2200pF,C25,C_0805_2012Metric,C1728,1
22uH,L3,L_10.4x10.4_H4.8,C10165,1
2M,R32,R_0603_1608Metric,C26102,1
3.3uF,"C24,C55",C_0805_2012Metric,C361184,2
3.5V,"D15,D9",D_SOD-123,C707159,2
330,"R35,R36,R38,R40,R42,R43",R_0805_2012Metric,C105877,6
330,R21,R_0402_1005Metric,C12246,1
3300pF,C18,C_0603_1608Metric,C1613,1
340k,R13,R_1206_3216Metric,C310348,1
3V3,D2,LED_0402_1005Metric,C510299,1
4.7K,"R44,R45",R_0805_2012Metric,C17673,2
4.7K,R10,R_1206_3216Metric,C17936,1
4.7pF,C10,C_0603_1608Metric,C1669,1
4.7u,L1,FNR5040S4R7MT,C167963,1
4.7uF,"C1,C41,C42,C6",C_1206_3216Metric,C29823,4
412k,R9,R_1206_3216Metric,C229628,1
470k,"R12,R49",R_0603_1608Metric,C23178,2
47k,R5,R_1210_3225Metric,C728383,1
47uF,"C11,C9",C_2220_5750Metric,C17702241,2
49.9K,"R73,R74",R_0603_1608Metric,C150942,2
5.1K,R70,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C14677,1
52.3k,"R17,R57",R_1206_3216Metric,C323085,2
590k,R3,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C2085400,1
5V6,D7,D_SMA,C5369357,1
60V Enhancement,"Q2,Q3,Q4",SOT_N06-31-GE3_VIS,C3038563,3
910,R11,R_0603_1608Metric,C23264,1
BQ34Z100-R2,U4,PW14_TEX,C7220642,1
CHG,D6,LED_0402_1005Metric,C510299,1
CYPD3177-24LQ,U11,QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm,C2952489,1
Conn_01x02,"J29,J30",JST_NV_B02P-NV_1x02_P5.00mm_Vertical,C160763,2
Conn_01x02,"J20,J21",JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,C189893,2
Conn_01x02,"J12,J2,J28,J4",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C24193,4
Conn_01x04,J14,Samtec_HPM-04-05-x-S_Straight_1x04_Pitch5.08mm,C566156,1
Conn_01x04,"J31,J9",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C57846,2
Conn_01x06,J11,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,C5663,1
Conn_01x08,"J10,J13,J15,J3",JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,C10385,4
D_Schottky 40v,"D18,D19,D20,D21",D_SMA,C8678,4
LED,D8,D_0402_1005Metric,C510299,1
LT8612,U2,QFN50P300X600X80-29N-D,C580313,1
MCP9600-E_MX,U5,MQFN20_NU_MCH,C220851,1
N-MOS,"Q10,Q8,Q9",SOT_N06-31-GE3_VIS,C3038563,3
P-Channel FET,Q1,SOT-23-3,C3290037,1
P82B715DR,U7,D8,C2649394,1
Q_NMOS_DSG,"Q5,Q6,Q7",SOT_N06-31-GE3_VIS,C3038563,3
Q_PMOS_DGS,"Q27,Q28",SOT-23,C53069233,2
STPS1045B-TR,"D4,D5",DPAK_STM,C86596,2
Screw_Terminal_01x02,J1,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,C3703,1
TVS2200DRV,U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C523793,1
USB_C_Receptacle_USB2.0_16P,J27,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
