Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_1206_3216Metric,37.1125,-97.8875,180,top
C10,4.7pF,C_0603_1608Metric,52.44375,-92.0125,90,top
C11,47uF,C_2220_5750Metric,61.75,-95.75,180,top
C12,1uF,C_0805_2012Metric,42.25,-47.25,0,top
C13,10uF,C_1210_3225Metric,52,-47.25,180,top
C17,100nF,C_0402_1005Metric,105.4569,-98.719999,90,top
C18,3300pF,C_0603_1608Metric,96.9569,-111.219999,-90,top
C19,1uF,C_0805_2012Metric,103.4569,-95.769999,-90,top
C2,10nF,C_0805_2012Metric,38.08125,-94.2375,0,top
C20,100nF,C_0402_1005Metric,91.966685,-83.642385,135,top
C21,100nF,C_0402_1005Metric,97.7069,-96.719999,180,top
C22,100nF,C_0402_1005Metric,100.4569,-96.719999,180,top
C23,100nF,C_0402_1005Metric,95.2069,-96.719999,0,top
C24,3.3uF,C_0805_2012Metric,72.5,-92,270,bottom
C25,2200pF,C_0805_2012Metric,78,-95.5,270,bottom
C26,.47uF,C_0805_2012Metric,73.75,-96,90,bottom
C27,1uF,C_0805_2012Metric,65.75,-82.25,90,bottom
C28,100nF,C_0402_1005Metric,62,-86.25,90,bottom
C29,100nF,C_0402_1005Metric,59.5,-91.75,270,bottom
C3,1uF,C_0805_2012Metric,38.13125,-92.2375,0,top
C30,100nF,C_0402_1005Metric,59.5,-94,270,bottom
C31,1uF,R_0603_1608Metric,82.232314,-85.041068,-90,top
C32,100nF,R_0603_1608Metric,79.982314,-85.041068,-90,top
C4,10nF,C_0805_2012Metric,75.3119,-46.264,0,top
C41,4.7uF,C_1206_3216Metric,51.1125,-104.2875,0,top
C42,4.7uF,C_1206_3216Metric,37.3125,-101.8375,180,top
C43,1nF,C_0805_2012Metric,29.25,-62,0,bottom
C5,10uF,C_1210_3225Metric,75.4119,-42.664,0,top
C55,3.3uF,C_0805_2012Metric,109.512652,-36.548941,-90,top
C56,1uF,C_0805_2012Metric,107.512652,-36.548941,-90,top
C57,1uF,C_0805_2012Metric,106.012652,-26.548941,-90,top
C58,1uF,C_0805_2012Metric,95.012652,-34.048941,-90,top
C59,1uF,C_0805_2012Metric,111.512652,-26.548941,90,top
C6,4.7uF,C_1206_3216Metric,71,-31.5,0,top
C60,100nF,C_0603_1608Metric,109.512652,-26.548941,90,top
C61,100nF,C_0603_1608Metric,108.012652,-26.548941,90,top
C7,10uF,C_1210_3225Metric,34,-58,-90,top
C8,100nF,C_0402_1005Metric,45.74375,-97.3625,90,top
C9,47uF,C_2220_5750Metric,61.75,-89.75,180,top
D10,15V,D_SOD-123,63.5,-81.75,90,bottom
D15,3.5V,D_SOD-123,90.161149,-98.87,90,top
D18,D_Schottky 40v,D_SMA,84,-36.5,0,top
D19,D_Schottky 40v,D_SMA,84,-45,0,top
D2,3V3,LED_0402_1005Metric,66.049814,-100.866068,180,top
D20,D_Schottky 40v,D_SMA,84,-41,0,top
D21,D_Schottky 40v,D_SMA,84,-49,0,top
,,,,,,
D4,STPS1045B-TR,DPAK_STM,45.75,-28.25,90,top
D5,STPS1045B-TR,DPAK_STM,33.5,-47,-90,top
D6,CHG,LED_0402_1005Metric,53.75,-21.5,0,top
D7,5V6,D_SMA,84.4569,-107.719999,0,top
D8,LED,D_0402_1005Metric,108.7219,-95.469999,180,top
D9,3.5V,D_SOD-123,90.161149,-105.02,-90,top
J1,Screw_Terminal_01x02,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,114,-75,0,top
J10,Conn_01x08,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,106.15,-66.025,0,top
J11,Conn_01x06,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,79.982314,-77.616068,180,top
J12,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,45.75,-113.25,180,top
J13,Conn_01x08,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,82.45,-58.8,0,top
J14,Conn_01x04,Samtec_HPM-04-05-x-S_Straight_1x04_Pitch5.08mm,29,-98.5,0,top
J15,Conn_01x08,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,106.25,-58.775,0,top
J2,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,57.75,-113.25,180,top
J20,Conn_01x02,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,118,-50.5,90,top
J21,Conn_01x02,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,117.75,-93.25,90,top
J27,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,115.54,-34,90,top
J28,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,61.5,-34.975,180,top
J29,Conn_01x02,JST_NV_B02P-NV_1x02_P5.00mm_Vertical,101.2225,-47.45,0,top
J3,Conn_01x08,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,82.5,-66,0,top
J30,Conn_01x02,JST_NV_B02P-NV_1x02_P5.00mm_Vertical,82,-28.5,0,top
J31,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,55.25,-59,180,top
J4,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,28.75,-33.25,270,top
J9,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,60.25,-71.475,180,top
L1,4.7u,FNR5040S4R7MT,69.3619,-44.114,90,top
L2,1.8uH,L_Taiyo-Yuden_NR-40xx,49.29375,-96.2625,90,top
L3,22uH,L_10.4x10.4_H4.8,46,-39.5,0,top
L5,1uH,L_Taiyo-Yuden_NR-40xx,46.0125,-104.1375,180,top
Q1,P-Channel FET,SOT-23-3,100.2069,-110.969999,90,top
Q10,N-MOS,SOT_N06-31-GE3_VIS,47.2893,-95.719999,180,bottom
Q2,60V Enhancement,SOT_N06-31-GE3_VIS,69.2031,-112.5,0,top
Q27,Q_PMOS_DGS,SOT-23,103.012652,-37.048941,180,top
Q28,Q_PMOS_DGS,SOT-23,100.512652,-34.048941,270,top
Q3,60V Enhancement,SOT_N06-31-GE3_VIS,110.2069,-107.469999,0,top
Q4,60V Enhancement,SOT_N06-31-GE3_VIS,114.7107,-100.5,180,top
Q5,Q_NMOS_DSG,SOT_N06-31-GE3_VIS,82.75,-101.75,180,bottom
Q6,Q_NMOS_DSG,SOT_N06-31-GE3_VIS,95.5,-79,180,bottom
Q7,Q_NMOS_DSG,SOT_N06-31-GE3_VIS,92.25,-86.25,180,bottom
Q8,N-MOS,SOT_N06-31-GE3_VIS,47.4962,-103.030001,180,bottom
Q9,N-MOS,SOT_N06-31-GE3_VIS,48.4962,-86.530001,180,bottom
R1,18.2k,R_0603_1608Metric,40.69375,-89.7875,90,top
R10,4.7K,R_1206_3216Metric,61.982314,-100.866068,0,top
R11,910,R_0603_1608Metric,47,-49,0,top
R12,470k,R_0603_1608Metric,53.5,-50.5,-90,top
R13,340k,R_1206_3216Metric,47.5,-52.25,-90,top
R15,10K,R_1210_3225Metric,56.5,-24.5,90,top
R16,100k,R_1206_3216Metric,102.2069,-114.469999,90,top
R17,52.3k,R_1206_3216Metric,78.4569,-112.469999,0,top
R18,165k,R_1206_3216Metric,105.9569,-112.219999,0,top
R19,215K,R_1206_3216Metric,95.7069,-114.969999,180,top
R2,0.1,R_2512_6332Metric,69.6119,-36.5015,90,top
R20,16.5k,R_1210_3225Metric,93.9569,-110.969999,90,top
R21,330,R_0402_1005Metric,106.7069,-98.719999,90,top
R22,100,R_1206_3216Metric,93.911149,-103.27,180,top
R23,100,R_1206_3216Metric,93.911149,-100.52,180,top
R24,100,R_1206_3216Metric,86.161149,-103.27,180,top
R25,100,R_1206_3216Metric,86.161149,-100.27,180,top
R26,100,R_1206_3216Metric,99.75,-92.75,90,top
R27,100,R_1206_3216Metric,96.2069,-92.682499,90,top
R28,0.037,R_2512_6332Metric,107.4569,-91.219999,0,top
R29,10K,R_0603_1608Metric,67.75,-86.25,90,bottom
R3,590k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,38.75,-51.5,180,top
R30,11.5K,R_1206_3216Metric,89.5,-94.5,180,bottom
R31,0.05,STA_CSSH2728_STP,79.75,-86,270,bottom
R32,2M,R_0603_1608Metric,108.575,-84.25,180,bottom
R33,10K,R_0603_1608Metric,75.425,-92,0,bottom
R34,1M,R_2512_6332Metric,104.5,-87.75,90,bottom
R35,330,R_0805_2012Metric,69.5,-98.3375,90,bottom
R36,330,R_0805_2012Metric,59.25,-85,90,bottom
R37,100,R_0402_1005Metric,53.25,-82.25,90,bottom
R38,330,R_0805_2012Metric,52.0875,-91.25,0,bottom
R39,100,R_0402_1005Metric,55.25,-93.25,180,bottom
R4,100k,R_1206_3216Metric,38.5,-54.5,180,top
R40,330,R_0805_2012Metric,56,-98,180,bottom
R41,100,R_0402_1005Metric,55.51,-100.75,180,bottom
R42,330,R_0805_2012Metric,73.232314,-82.366068,0,top
R43,330,R_0805_2012Metric,77.144814,-82.366068,180,top
R44,4.7K,R_0805_2012Metric,72.232314,-90.866068,0,top
R45,4.7K,R_0805_2012Metric,77.982314,-91.116068,180,top
R49,470k,R_0603_1608Metric,53.5,-53,180,top
R5,47k,R_1210_3225Metric,38.6244,-58.41615,90,top
R50,1k,R_0603_1608Metric,51,-51.5,90,top
R57,52.3k,R_1206_3216Metric,78.4569,-107.969999,0,top
R58,0.1,R_1206_3216Metric,41.5625,-104.0375,90,top
R59,1M,R_2512_6332Metric,30.088008,-66.976494,0,bottom
R6,1M,R_2512_6332Metric,48.94375,-90.116068,90,top
R69,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,105.512652,-36.548941,-90,top
R7,10k,R_1210_3225Metric,45.7244,-58.36615,90,top
R70,5.1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.512652,-26.548941,90,top
R71,2.4K,R_0603_1608Metric,103.512652,-23.223941,90,top
R72,0,R_0603_1608Metric,100.012652,-27.048941,-90,top
R73,49.9K,R_0603_1608Metric,97.512652,-34.548941,-90,top
R74,49.9K,R_0603_1608Metric,99.512652,-29.548941,0,top
R75,10K,R_0603_1608Metric,99.5,-31.5,0,top
R8,10k,R_1210_3225Metric,42.1244,-58.36615,90,top
R9,412k,R_1206_3216Metric,44.69375,-90.5875,90,top
